PassengerId,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,CabinNum,HomePlanet_Europa,HomePlanet_Mars,CryoSleep_True,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,VIP_True,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Side_S
0001_01,39.0,0.0,0.0,0.0,0.0,0.0,False,0,True,False,False,False,True,False,True,False,False,False,False,False,False,False
0002_01,24.0,109.0,9.0,25.0,549.0,44.0,True,0,False,False,False,False,True,False,False,False,False,False,True,False,False,True
0003_01,58.0,43.0,3576.0,0.0,6715.0,49.0,False,0,True,False,False,False,True,True,False,False,False,False,False,False,False,True
0003_02,33.0,0.0,1283.0,371.0,3329.0,193.0,False,0,True,False,False,False,True,False,False,False,False,False,False,False,False,True
0004_01,16.0,303.0,70.0,151.0,565.0,2.0,True,1,False,False,False,False,True,False,False,False,False,False,True,False,False,True
0005_01,44.0,0.0,483.0,0.0,291.0,0.0,True,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0006_01,26.0,42.0,1539.0,3.0,0.0,0.0,True,2,False,False,False,False,True,False,False,False,False,False,True,False,False,True
0006_02,28.0,0.0,0.0,0.0,0.0,0.0,True,0,False,False,True,False,True,False,False,False,False,False,False,True,False,True
0007_01,35.0,0.0,785.0,17.0,216.0,0.0,True,3,False,False,False,False,True,False,False,False,False,False,True,False,False,True
0008_01,14.0,0.0,0.0,0.0,0.0,0.0,True,1,True,False,True,False,False,False,True,False,False,False,False,False,False,False
0008_02,34.0,0.0,0.0,0.0,0.0,0.0,True,1,True,False,True,False,True,False,True,False,False,False,False,False,False,False
0008_03,45.0,39.0,7295.0,589.0,110.0,124.0,True,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False
0009_01,32.0,73.0,0.0,1123.0,0.0,113.0,True,1,False,True,False,False,True,False,False,False,False,False,True,False,False,False
0010_01,48.0,719.0,1.0,65.0,0.0,24.0,False,1,False,False,False,False,True,False,False,False,False,False,False,True,False,True
0011_01,28.0,8.0,974.0,12.0,2.0,7.0,True,2,False,False,False,False,True,False,False,False,False,False,True,False,False,False
